feature_id,feature_name,category,summary,purpose,owner_volume,supporting_volumes,implementation_status,release_stage,priority,initial_release_required,groundwork_required_now,platform_availability,edition_availability,dependencies,risk_level,safety_classification,UX_location,API_or_service_owner,acceptance_summary,design_evidence,implementation_evidence,test_evidence,release_evidence,blocker,tentative_start_window,tentative_completion_window,timeline_confidence,release_history,replacement_feature,deprecation_notes
FEAT-0054,Earnings badges,05 Watchlists,Visual badge indicating upcoming earnings.,Surface relevant context at a glance.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0055,Broker synchronization (watchlist),05 Watchlists,Import/sync a watchlist from a connected broker account.,Reduce duplicate data entry.,DS-002,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0056,Watchlist import and export,05 Watchlists,CSV import/export of watchlist contents.,Data portability.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0057,Watchlist-wide alerts,05 Watchlists,Apply one alert condition to every symbol in a watchlist.,Reduce per-symbol alert setup effort.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,FEAT-0048,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0058,Stock screener,06 Screeners,"User-driven, ad-hoc filter tool for discovering stocks by criteria.",TradingView-style discovery tool distinct from the existing DS-SCN automated Watchtower scanner.,DS-002,DS-022,Planned,Stage 5 -- Initial Commercial Release,High,Yes,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"Screener results are clearly presented as a discovery tool, not a Sage recommendation.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0059,ETF screener,06 Screeners,Screener variant scoped to ETFs.,Cover the initial-release ETF asset class.,DS-002,DS-022,Planned,Stage 5 -- Initial Commercial Release,Medium,Yes,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,An ETF-scoped screener returns only ETF instruments and supports at least the technical/fundamental filter classes available to the stock screener.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0060,Options screener,06 Screeners,Screener variant scoped to options contracts.,Support selected options intelligence.,DS-002,DS-022,Blocked,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,FEAT-0011,Low,N/A,TBD,TBD,"Options screener acceptance criteria are deferred pending options-data-provider selection (see `blocker`); once unblocked, it must meet the same reproducible-result-set bar as FEAT-0061/FEAT-0062.",Not Yet Designed,None,None,None -- not released,Depends on options data provider selection (see Market Data category).,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0061,Technical filters,06 Screeners,Filter by indicator-based technical conditions.,Core screener filter class.,DS-002,DS-022,Planned,Stage 5 -- Initial Commercial Release,High,Yes,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"A screener filter on at least one indicator-based technical condition (e.g. RSI, moving-average cross) returns a correct, reproducible result set for a fixed data snapshot.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0062,Fundamental filters,06 Screeners,"Filter by fundamental data (P/E, market cap, etc.).",Core screener filter class.,DS-002,DS-022,Planned,Stage 5 -- Initial Commercial Release,Medium,Yes,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"A screener filter on at least one fundamental field (e.g. P/E, market cap) returns a correct, reproducible result set for a fixed data snapshot.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0063,Custom columns,06 Screeners,User-selected data columns in screener results.,Personalize screener output.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0064,Saved screener templates,06 Screeners,Persist a named screener configuration.,Avoid reconfiguring common searches.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,FEAT-0058,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0065,Scan scheduling,06 Screeners,Run a saved screener automatically on a schedule.,Reduce manual re-running of common scans.,DS-002,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,FEAT-0064,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0066,Scan history,06 Screeners,Retain past screener run results for comparison.,Track how a screen's result set changes over time.,DS-002,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0067,Strategy-based scans,06 Screeners,Screen using a user's own defined strategy criteria.,Connect screening to the strategy system.,DS-002,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0068,Screener export,06 Screeners,Export screener results (CSV).,Data portability.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,FEAT-0058,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0069,Future asset-class screening (forex/futures/crypto/bond/global equity),06 Screeners,Screener coverage extended to future asset classes as they are added.,Long-term screener completeness.,DS-002,DS-022,Future,"Stage 9 -- Marketplace, Global, and Institutional Expansion",Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0070,Price alerts,07 Alerts and notifications,Alert on a price crossing a threshold.,"Core, most-requested alert type.",DS-002,,Planned,Stage 5 -- Initial Commercial Release,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"An alert configured for a price threshold on a symbol fires exactly once when that threshold is first crossed, and is delivered through at least one configured channel.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0071,Indicator alerts,07 Alerts and notifications,Alert on an indicator condition.,Core alert type.,DS-002,,Planned,Stage 5 -- Initial Commercial Release,High,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"An alert configured for an indicator condition fires when that condition evaluates true on newly-closed data, and not on historical bars already evaluated.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0072,Strategy alerts,07 Alerts and notifications,Alert when a user's strategy generates a signal.,Connect alerts to the strategy system.,DS-002,,Planned,Stage 5 -- Initial Commercial Release,High,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"An alert tied to a user strategy fires when that strategy emits a signal, and is traceable back to the specific strategy run that produced it.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0073,Drawing alerts,07 Alerts and notifications,Alert on price crossing a user-drawn line.,See Drawing-Based Alerts (Charts category).,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0074,Watchlist alerts,07 Alerts and notifications,Alert applied across an entire watchlist.,See Watchlist-Wide Alerts.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0075,Portfolio alerts,07 Alerts and notifications,"Alert on portfolio-level conditions (drawdown, exposure).",Risk awareness at the portfolio level.,DS-002,,Planned,Stage 5 -- Initial Commercial Release,High,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"A portfolio-level alert (e.g. drawdown threshold) fires based on aggregate account state, independent of any single symbol's alert configuration.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0076,Risk alerts,07 Alerts and notifications,Alert when a deterministic risk threshold is approached/breached.,Surface risk-engine state proactively.,DS-002,,Planned,Stage 5 -- Initial Commercial Release,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"An alert fires when a deterministic risk threshold (from the Risk Engine) is approached or breached, using the same threshold values the Risk Engine itself enforces.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0077,Broker-state alerts,07 Alerts and notifications,Alert on broker connectivity/account-state changes.,Operational awareness.,DS-023,DS-002,Idea,Stage 6 -- Advanced Trading Expansion,High,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0078,Data-quality alerts,07 Alerts and notifications,Alert when market data is stale/degraded.,Prevent trading on bad data unnoticed.,DS-023,DS-002,Planned,Stage 2 -- Usable Paper-Trading Alpha,High,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"An alert fires when market data for a subscribed symbol exceeds its freshness SLA, and the alert names the affected symbol and provider.",Not Yet Designed,None,tests/test_market_data_freshness.py,None -- not released,None,TBD,TBD,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0079,Multi-condition alert builder,07 Alerts and notifications,Combine multiple conditions (AND/OR) into one alert.,Reduce alert-fatigue false positives.,DS-002,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0080,Alert suppression,07 Alerts and notifications,Temporarily suppress an alert type without deleting it.,Reduce noise during known conditions.,DS-002,,Idea,Stage 6 -- Advanced Trading Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0081,Alert cooldowns,07 Alerts and notifications,Minimum time between repeated firings of the same alert.,Prevent alert spam.,DS-002,,Planned,Stage 5 -- Initial Commercial Release,Medium,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"A repeated firing of the same alert condition within its configured cooldown window is suppressed and logged as suppressed, not silently dropped.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0082,Alert escalation,07 Alerts and notifications,Escalate delivery channel if an alert is not acknowledged.,Ensure critical alerts are seen.,DS-002,,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0083,Alert acknowledgement,07 Alerts and notifications,Explicit user acknowledgement of a fired alert.,Track whether a critical alert was seen.,DS-002,,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0084,Alert history,07 Alerts and notifications,Retained log of past alert firings.,Review what fired and when.,DS-002,,Planned,Stage 5 -- Initial Commercial Release,Medium,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,Every alert firing (delivered or suppressed) is retained in a queryable history for at least the account's data-retention window.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0085,"Multi-channel alert delivery (mobile, desktop, email, notification)",07 Alerts and notifications,Deliver an alert across the channels a user configures.,Ensure alerts reach the user wherever they are.,DS-002,DS-016,Planned,Stage 5 -- Initial Commercial Release,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"An alert configured for multiple delivery channels is delivered to every enabled channel, with per-channel delivery success/failure recorded.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0086,Discord notification delivery (notification-only),07 Alerts and notifications,"Optional Discord delivery channel; strictly notification-only, never a control/execution channel.",Already-approved DS-ALT-004/DS-INT-006 boundary; carried forward unchanged into the expansion registry.,DS-002,,Planned,Stage 6 -- Advanced Trading Expansion,Medium,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Informational,TBD,TBD,"Discord can never place, modify, or cancel an order; violates this and it is a Critical defect.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0087,Signed generic webhooks (future),07 Alerts and notifications,"Future outbound webhook delivery channel, cryptographically signed.",Allow third-party integration without a bespoke per-service integration.,DS-002,,Future,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,Informational,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0088,Symbol news feed,08 Research and news,News items scoped to a specific symbol.,Core research surface.,DS-002,,Planned,Stage 5 -- Initial Commercial Release,High,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"A symbol's news feed returns items tagged to that symbol, ordered by publish time, with source attribution.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0089,Portfolio news feed,08 Research and news,News items scoped to a user's held/watched symbols.,Aggregate relevant news.,DS-002,,Planned,Stage 5 -- Initial Commercial Release,Medium,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,A user's portfolio news feed aggregates items for every held/watched symbol without requiring a per-symbol lookup.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0090,Breaking-news mode,08 Research and news,Elevated presentation for market-moving breaking news.,Surface urgency.,DS-002,,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0091,Duplicate-story clustering,08 Research and news,Group near-duplicate news stories from multiple sources.,Reduce feed noise.,DS-002,,Idea,Stage 6 -- Advanced Trading Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0092,Source reliability scoring,08 Research and news,Rate news sources by historical reliability.,Help the user weigh news credibility.,DS-002,,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0093,News sentiment analysis,08 Research and news,Automated sentiment tagging of news items.,Quick directional-lean signal.,DS-002,DS-018,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,"Advisory (Sage, non-authoritative)",TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0094,Catalyst extraction,08 Research and news,Automated extraction of the catalyst driving a news story.,Speed up research triage.,DS-002,DS-018,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,"Advisory (Sage, non-authoritative)",TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0095,Rumor vs. confirmed labeling,08 Research and news,Explicit labeling distinguishing rumor from confirmed fact in news items.,Prevent unverified claims from being presented as fact (consistent with DS-002's evidence-governance principle).,DS-002,,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Medium,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0096,Chart news markers,08 Research and news,News-event markers plotted directly on a chart's timeline.,Correlate price action with news.,DS-022,DS-002,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0097,Economic calendar,08 Research and news,Scheduled macroeconomic release calendar.,Anticipate market-moving scheduled events.,DS-002,DS-022,Planned,Stage 5 -- Initial Commercial Release,Medium,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"The economic calendar surfaces scheduled macro releases (rates, employment, inflation) with source attribution and an explicit unknown-date state when a release is not yet scheduled.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0098,Earnings calendar,08 Research and news,Scheduled earnings-release calendar.,Anticipate symbol-specific catalysts.,DS-002,DS-022,Planned,Stage 5 -- Initial Commercial Release,Medium,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"An earnings-calendar entry for a covered symbol shows a scheduled release date/time sourced from a defined provider, with an explicit unknown-date state when not yet announced.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0099,Dividend calendar,08 Research and news,Scheduled dividend ex-date/payment calendar.,Support income-focused research.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0100,Split calendar,08 Research and news,Scheduled stock-split calendar.,Avoid confusion from unadjusted price history.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0101,IPO calendar,08 Research and news,Scheduled IPO calendar.,Support new-listing research.,DS-002,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0102,Options expiration calendar,08 Research and news,Scheduled options-expiration calendar.,Support options intelligence.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,FEAT-0011,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,Depends on options data provider selection.,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0103,Federal Reserve events calendar,08 Research and news,Scheduled FOMC/Fed-speaker calendar.,Anticipate macro-moving events.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0104,Treasury events calendar,08 Research and news,Scheduled Treasury auction/announcement calendar.,Anticipate macro-moving events.,DS-002,DS-022,Idea,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0105,Market holidays calendar,08 Research and news,Market holiday schedule.,Prevent scheduling confusion around closed markets.,DS-002,DS-022,Planned,Stage 2 -- Usable Paper-Trading Alpha,Medium,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,"The market-holiday calendar correctly marks a known exchange holiday as non-trading for every date-dependent feature (alerts, orders, calendars) that consults it.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0106,Early closes calendar,08 Research and news,Early-market-close schedule.,Prevent scheduling confusion around shortened sessions.,DS-002,DS-022,Planned,Stage 2 -- Usable Paper-Trading Alpha,Low,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,The early-close calendar correctly reflects a shortened session's actual close time for every time-dependent feature that consults it.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0107,Trading halts feed,08 Research and news,Real-time trading-halt notifications.,Prevent action on halted symbols going unnoticed.,DS-023,DS-002,Idea,Stage 6 -- Advanced Trading Expansion,High,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"A trading halt on a covered symbol is surfaced within the feed's defined latency SLA, and no automated order for that symbol is submitted while the halt is active.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0108,Strategy blackout periods,08 Research and news,Configurable periods during which an automated strategy will not act (e.g. around FOMC).,Give the user control over automation during known high-volatility windows.,DS-002,DS-020,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,"A strategy configured with a blackout window (e.g. around FOMC) does not submit automated orders during that window, and a rejection during blackout states the blackout as the reason.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0109,S&P 500 heatmap,08 Research and news,Index-constituent performance heatmap.,Market-visualization discovery tool.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0110,Sector heatmap,08 Research and news,Sector-level performance heatmap.,Market-visualization discovery tool.,DS-002,DS-022,Idea,Stage 6 -- Advanced Trading Expansion,Medium,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
